,Track,Artists,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
258,Godzilla (feat. Juice WRLD),Eminem,7FIWs0pqAYbP91WWM0vlTQ,"['detroit hip hop', 'hip hop', 'rap']",0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995
259,Black Swan,BTS,3bkkMZEAhx7rTVz1C0itRQ,"['k-pop', 'k-pop boy group']",0.719,0.758,2,-5.167,0,0.0851,0.137,0,0.129,0.49,147.023
260,What A Man Gotta Do,Jonas Brothers,4wNIkl5XGiAACjFBlDWuSd,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039
261,Good News,Mac Miller,1DWZUa5Mzf2BwzpHtgbHPY,"['hip hop', 'pittsburgh rap', 'rap']",0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088
262,Ocean,KAROL G,4XEDuWzlfM8s6ki9KEaB38,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.727,0.482,11,-6.193,1,0.115,0.933,0,0.388,0.487,74.93
263,Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,"['modern rock', 'rock']",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949
264,Another Love,"Flavio, Anne Lukin",4d4GpYnTEr7KATcLhCJwpY,"['latin talent show', 'latin viral pop']",0.481,0.355,1,-8.587,0,0.0578,0.814,1.34e-05,0.119,0.283,121.72
265,Little Talks,"Eva B, Nick Maylo",7bjz5QnPtcXPh8hg3sqjsy,"['latin talent show', 'latin viral pop']",0.324,0.441,4,-11.02,1,0.0451,0.0341,0,0.0862,0.288,205.688
266,Up,"Gèrard, Anaju",5Hg8kZ74hnAGNBFBdyqaWT,"['latin talent show', 'latin viral pop']",0.75,0.741,8,-7.062,1,0.0403,0.338,0,0.0643,0.766,115.034
267,Copenhague,Vetusta Morla,4bZEZhCq2kqUxnMacXVl5x,"['cantautor', 'latin rock', 'rock alternativo espanol', 'spanish indie pop', 'spanish pop', 'spanish rock']",0.559,0.742,9,-3.945,1,0.0243,0.411,0.0107,0.133,0.482,92.959
268,Medley Marisol: Estando Contigo / Ola Ola Ola / Tómbola,Operación Triunfo 2020,14cWe74efv6hCozh3PBnYJ,"['latin talent show', 'latin viral pop']",0.564,0.823,7,-4.158,1,0.0704,0.273,0,0.228,0.874,99.759
269,Tu Calorro,"Rafa Romera, Hugo Cobo",6iaAoSy62eV3PvKC4ntfe0,['latin talent show'],0.705,0.896,0,-4.501,1,0.09,0.134,0,0.28,0.923,88.056
270,Tu Calorro,Estopa,0DXI6c9tNWsI4tvUftkQN8,"['pop flamenco', 'rumba', 'spanish pop']",0.713,0.768,0,-9.115,1,0.0662,0.229,0,0.447,0.962,88.012
271,Another Love,Tom Odell,7otCGmgp9h4CsR2LhwB6gt,['pop'],0.445,0.537,4,-8.532,0,0.04,0.695,1.6e-05,0.0941,0.131,122.764
272,Good as Hell,"Ariadna, NIA",0fkWEUbik3OpBVgmG8WA4x,['latin talent show'],0.487,0.619,5,-11.423,0,0.0544,0.288,0.00013,0.108,0.474,192.0
273,Te Espero Aquí,"Samantha, Javy Ramírez",2XRvYHFMNZ19C0HGjdSoqk,"['latin talent show', 'latin viral pop']",0.599,0.538,6,-8.397,1,0.0371,0.51,0,0.0826,0.452,152.003
274,Vuelve,"Sebastian Yatra, Beret",4Rh3dvV5yO7C8T5niXtjRX,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.692,0.49,11,-6.077,1,0.0464,0.466,0,0.109,0.255,155.831
275,La Mejor Versión de Mi - Remix,"Natti Natasha, Romeo Santos",2dy3TKVDEbIeWxeIb8JWqZ,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",0.735,0.712,11,-5.119,0,0.0326,0.732,0,0.302,0.894,131.938
276,Juro Que,ROSALÍA,3ZwQCZ2LuYwuQ6R1p1CJ3w,['r&b en espanol'],0.645,0.495,11,-6.77,0,0.107,0.845,0.000534,0.333,0.627,81.852
277,Viene y Va,"C. Tangana, Natti Natasha",1UozIJsPRJVXDRG08AgUQP,['urbano espanol'],0.808,0.719,7,-5.544,1,0.0485,0.269,7.84e-05,0.066,0.892,99.011
278,olvídate de mí,Natalia Lacunza,4b0JCrKBUgl3VQYhxcxwdv,"['eurovision', 'latin talent show', 'latin viral pop']",0.814,0.267,10,-12.166,1,0.0808,0.446,1.95e-05,0.0921,0.335,103.97
279,MONEY TILL I DIE,Kidd Keo,6ZduOnp4rOkKcqsMj9hTFE,"['trap latino', 'trap triste', 'urbano espanol']",0.689,0.619,9,-7.02,0,0.0721,0.277,0,0.291,0.235,152.042
280,Girl,Myke Towers,43NqTeL8pgBxKHPMiJKUP5,['trap latino'],0.733,0.708,6,-4.957,1,0.0937,0.0325,0.000327,0.324,0.694,93.021
281,Piensan,Myke Towers,1A9PKAFEHMWgXNLpgf7k4J,['trap latino'],0.677,0.722,2,-4.443,0,0.0626,0.538,0,0.11,0.786,172.0
282,Goteo - Remix,"Duki, Ronny J, Pablo Chill-E, Capo Plaza, C.R.O, Asan",5widvMUA2hiilH1RpOl5aM,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",0.675,0.814,1,-2.793,1,0.0417,0.182,0,0.451,0.544,147.964
283,Dama y vagabundo,"Nyno Vargas, Juan Magán",1zv4Q2mgNdoqDtVAF7TQAA,"['flamenco urbano', 'pop flamenco', 'rumba', 'spanish hip hop', 'spanish pop']",0.696,0.836,9,-5.066,1,0.0439,0.517,0,0.149,0.942,91.958
284,Bailando,Nil Moliner,27NTdNyp9n5B4lswgGikG3,"['latin viral pop', 'spanish pop']",0.718,0.742,0,-5.761,1,0.0467,0.132,0,0.298,0.944,140.055
285,Una Foto en Blanco y Negro,"David Otero, Taburete",4BNqM0h2wukiQkAUKZjurV,"['cantautor', 'latin arena pop', 'spanish pop']",0.562,0.835,2,-5.318,1,0.0329,0.267,0,0.0971,0.531,133.006
286,Borracho De Amor,"Cali Y El Dandee, Reik",4QtQgsK7DChmU4EM5NtqyK,"['champeta', 'colombian pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.527,0.771,9,-2.178,1,0.0634,0.0511,0,0.0948,0.857,92.746
287,Forever Yours - Avicii Tribute,"Kygo, Sandro Cavazza",7HiBJuUqPVQw01IBL3bQpu,"['edm', 'pop', 'pop dance', 'tropical house']",0.53,0.612,10,-8.794,1,0.0518,0.253,0,0.246,0.433,119.255
288,Mi Consuelo,"Keen Levy, Rvfv",09N6IHJk5W8lr5JABx11lj,"['flamenco urbano', 'pop flamenco']",0.854,0.733,11,-4.905,0,0.0532,0.494,7.03e-06,0.106,0.732,110.011
289,Relación Rota,Myke Towers,5RClLxkUvnMWFUQ3VAQEHj,['trap latino'],0.788,0.731,6,-5.163,0,0.144,0.544,6.8e-05,0.286,0.829,160.147
290,Sucker,"Gèrard, Hugo Cobo",0TGJZYfUMrXkBik9cNA9KL,"['latin talent show', 'latin viral pop']",0.813,0.629,9,-7.027,0,0.0885,0.24,0,0.0463,0.976,137.989
291,Copenhague,"Eva B, Flavio",4hzvcicvufeGlzqf8iXHjE,"['latin talent show', 'latin viral pop']",0.576,0.787,9,-6.363,1,0.0241,0.279,0,0.108,0.741,93.001
292,when the party's over,Billie Eilish,43zdsphuZLzwA9k4DJhU0I,"['electropop', 'pop']",0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642
293,Ronca,Myke Towers,0WxhO7pvOWqFJRMBQ3q3B2,['trap latino'],0.812,0.595,1,-6.478,1,0.133,0.28,0,0.176,0.528,90.005
294,No Me Olvida,"Robledo, Omar Montes, Quimico Ultra Mega",2N1YUkjeP4Zdbhhf0nKOoD,['urbano espanol'],0.855,0.802,7,-3.29,1,0.109,0.15,0,0.289,0.437,99.992
295,Mina el Hammani,Cruz Cafuné,09Ae1id448lmrfETbExaRc,['urbano espanol'],0.851,0.476,11,-10.8,0,0.288,0.162,1.05e-05,0.168,0.223,124.992
296,Before You Go,Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,"['pop', 'uk pop']",0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881
297,Physical,Dua Lipa,3AzjcOeAmA57TIOr9zF1ZW,"['dance pop', 'pop', 'uk pop']",0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967
298,Definitivamente,"Daddy Yankee, Sech",0UCVIBTr9NGHX8GRngNb7L,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",0.812,0.764,8,-3.39,0,0.101,0.59,0,0.253,0.431,100.082
299,Les Duele,Morad,0JC2yPGYZsO9zR9Bss3Hi8,"['drill espanol', 'urbano espanol']",0.765,0.785,8,-5.244,0,0.107,0.154,0,0.202,0.822,128.011
300,Lo Que Me Dé la Gana,Dani Martín,78jD6JCzohCt21a3rc26FB,"['latin pop', 'spanish pop', 'spanish pop rock']",0.508,0.903,7,-4.088,1,0.358,0.0609,0,0.146,0.539,191.996
301,Dónde Estás,KHEA,16DNJ8y6k97DxuMyV49W7V,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",0.706,0.622,7,-6.032,1,0.113,0.493,0,0.102,0.615,90.022
302,Get Me,"Justin Bieber, Kehlani",6zGPytJiZmFuyVq7RTNO9G,"['canadian pop', 'pop', 'post-teen pop']",0.824,0.503,6,-6.94,0,0.156,0.05,5.25e-05,0.107,0.784,109.397
303,Universo,Blas Cantó,5CXzYfLqlNS70pt7vuVVHw,"['eurovision', 'latin viral pop', 'spanish pop']",0.562,0.645,5,-6.498,1,0.0538,0.604,0,0.106,0.597,91.922
304,Diosa,Myke Towers,3JHpk0DOTOzyh0777JFAky,['trap latino'],0.801,0.745,6,-3.733,0,0.063,0.398,0.00603,0.153,0.245,104.965
305,Tú,Myke Towers,7xX3wvvcZvxGCa06KlgTCp,['trap latino'],0.805,0.744,5,-5.627,0,0.149,0.258,1.4e-05,0.277,0.825,123.999
306,Quédate conmigo,"Pole., Pilar Moxó",5tzOL69W6lCp4gAomIXMnJ,"['spanish pop', 'urbano espanol']",0.58,0.715,1,-4.74,1,0.0397,0.677,0,0.243,0.46,145.91
307,Shotgun,Flavio,6SihOhDSA4o9f4L6su8N4Z,"['latin talent show', 'latin viral pop']",0.69,0.764,3,-7.116,1,0.0585,0.361,1.51e-05,0.0992,0.699,115.668
308,Maniac,"Eva B, Samantha",4ZzQkRdkHQvLFesQiDbZbO,"['latin talent show', 'latin viral pop']",0.595,0.818,3,-7.602,0,0.0337,0.00559,2.33e-05,0.0359,0.92,158.952
309,La Despedida,"NIA, Gèrard",1zBIhnuggV5m9VrYUStKT1,['latin viral pop'],0.446,0.244,1,-8.331,0,0.039,0.871,0,0.102,0.233,121.844
310,Besos,Operación Triunfo 2020,4S1PEdkbSNF4UO8Oi9bQop,"['latin talent show', 'latin viral pop']",0.649,0.733,2,-7.769,1,0.0237,0.00671,3.14e-06,0.121,0.928,104.973
311,Podría Ser Peor,"Bruno Alves, Anne Lukin",2mx09kQ1Jrvsi5SEeFhcSf,['latin talent show'],0.688,0.913,11,-6.471,1,0.0419,0.209,0,0.0852,0.882,124.995
312,Como Se Siente,Jhay Cortez,09tYvFOFp1pKxZ8GJVlOXm,"['latin', 'reggaeton', 'trap latino']",0.664,0.582,3,-7.139,0,0.0935,0.213,0,0.108,0.222,92.764
313,Esperando - MUU Sessions,"Nil Moliner, Bely Basarte",3zmgPH9VI8UJYzhFYihmSz,"['latin viral pop', 'spanish pop']",0.619,0.541,0,-6.844,1,0.0362,0.522,0,0.111,0.382,122.124
314,Lose Control,"MEDUZA, Becky Hill, Goodboys",7CHi4DtfK4heMlQaudCuHK,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",0.598,0.526,10,-8.659,0,0.0415,0.129,0,0.14,0.529,123.935
315,Medusa,"Jhay Cortez, Anuel AA, J Balvin",3cp0qK5a7EjP40AfcvsNS4,"['latin', 'reggaeton', 'trap latino']",0.887,0.598,0,-7.282,1,0.212,0.201,2.92e-06,0.109,0.394,98.019
316,Keii,Anuel AA,5eEQCfq7MXQr6aHLNRUZLs,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",0.708,0.797,0,-3.095,0,0.0391,0.4,0,0.096,0.51,88.015
317,Contando Lunares (feat. Anitta & Rauw Alejandro) - Remix,Don Patricio,4r2IrqOOdh3dPUKyvRHaSE,"['trap latino', 'urbano espanol']",0.87,0.472,4,-7.596,0,0.0456,0.501,0,0.278,0.698,106.051
318,En Llamas,"Pol Granch, Natalia Lacunza",5itCPBTj94wIbL4p4rBCvD,"['latin viral pop', 'rap espanol', 'spanish pop']",0.635,0.351,11,-11.626,0,0.275,0.473,0,0.0713,0.353,79.936
319,La Pared 360,"Lenny Tavárez, Justin Quiles",2w8SKQCnT2YQK1qCqKl2uW,"['latin', 'reggaeton', 'reggaeton flow', 'trap argentino', 'trap latino']",0.777,0.656,2,-5.823,0,0.158,0.248,2.06e-06,0.139,0.833,168.103
320,Intentions,"Justin Bieber, Quavo",38U2jBzDMmw1CCNTpf03sX,"['canadian pop', 'pop', 'post-teen pop']",0.813,0.554,9,-6.631,1,0.0544,0.315,0,0.105,0.86,148.011
321,Mejor,"Dalex, Sech",6C1jKbkCUgFws7M0M4oGCB,"['latin', 'r&b en espanol', 'reggaeton', 'trap latino']",0.524,0.577,2,-4.501,1,0.18,0.185,0,0.103,0.19,175.396
322,Rompecabezas,Maka,2zoRntCEjPqAwsAC48rlEF,"['flamenco urbano', 'pop flamenco', 'urbano espanol']",0.573,0.762,5,-6.245,0,0.0465,0.531,0.000725,0.332,0.302,160.013
323,TE SUPERÉ,"Becky G, Zion & Lennox, Farruko",2y6EbYibgxMVQ0T5YjZYWN,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",0.738,0.783,0,-4.576,1,0.0693,0.055,0,0.125,0.699,176.027
324,Pa Los Gustos Los Colores,Javiielo,6Bd9rs5gv25asdPDRog3ce,"['reggaeton', 'reggaeton flow', 'trap latino']",0.742,0.683,9,-5.828,1,0.118,0.19,0.000111,0.0947,0.412,80.034
325,Know Your Worth,"Khalid, Disclosure",0TrPqhAMoaKUFLR7iYDokf,"['alternative r&b', 'pop']",0.79,0.694,9,-7.726,0,0.0708,0.145,0.00252,0.281,0.508,103.007
326,Te Sale,Lennis Rodriguez,61PohFNZfNQA1bzMoV137g,"['dominican pop', 'urbano espanol']",0.875,0.686,4,-5.546,0,0.152,0.0172,0.00195,0.0759,0.311,97.023
327,Porno,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",34ZngZgo8xicbt1EE8Ob8Z,"['latin', 'reggaeton', 'trap latino']",0.535,0.71,1,-2.978,0,0.324,0.428,0,0.141,0.523,92.009
328,Say So,Doja Cat,3Dv1eDb0MEgF93GpLXlucZ,"['dance pop', 'pop', 'pop rap']",0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962
329,Díselo a la Vida (Versión Gala),Operación Triunfo 2020,6Acv9IDakRO83fgHH1xyER,"['latin talent show', 'latin viral pop']",0.38,0.609,0,-7.129,1,0.0469,0.0435,0,0.124,0.424,80.302
330,Call Me Maybe,"Flavio, Samantha",00q3WfzaavJuhboFUsS8DO,"['latin talent show', 'latin viral pop']",0.603,0.532,0,-6.787,1,0.0753,0.502,0,0.285,0.602,115.765
331,Esperando,"Hugo Cobo, Eva B",6VUdvFy716ztKpkQ9bj2We,"['latin talent show', 'latin viral pop']",0.713,0.444,11,-9.732,1,0.0307,0.674,0,0.11,0.431,121.972
332,Wicked Game,"Gèrard, Anne Lukin",61ZVMCgBihll3iA3pEDU5i,"['latin talent show', 'latin viral pop']",0.595,0.679,10,-5.015,1,0.0256,0.348,5.89e-05,0.134,0.544,112.986
333,Bad Girls,"NIA, Bruno Alves",6RsLQzoMtifr8nO3Ih2Iwm,['latin viral pop'],0.816,0.611,1,-8.13,0,0.0399,0.022,0.000347,0.0719,0.937,125.023
334,Dinamita,Maialen,5r1sZzPSFVDgoVvFvgVac2,"['latin talent show', 'latin viral pop']",0.482,0.489,9,-8.708,1,0.0305,0.142,0,0.304,0.46,114.055
335,Coronao Now (Remix),"El Alfa, Lil Pump, Sech, Myke Towers, Vin Diesel",047WmwIeerHyIUstFAEz5A,"['dembow', 'latin', 'rap dominicano', 'reggaeton', 'trap latino']",0.883,0.853,1,-4.773,1,0.168,0.255,0.000723,0.412,0.695,118.003
336,Tattoo,Rauw Alejandro,7na7Bk98usp84FaOJFPv3d,"['puerto rican pop', 'trap latino']",0.755,0.617,9,-5.144,1,0.182,0.0217,0,0.0625,0.745,193.896
337,Ignorantes,"Bad Bunny, Sech",3wYRLYuO1M88d8woWUIxct,"['latin', 'reggaeton', 'trap latino']",0.85,0.536,1,-5.161,1,0.0599,0.267,3.89e-05,0.0996,0.505,96.029
338,Qué Sabrá Neruda,Javy Ramírez,4huB3db25M1GuvadoVtz6r,[],0.675,0.693,0,-4.267,1,0.0313,0.212,0,0.0855,0.461,124.323
339,No Time To Die,Billie Eilish,73SpzrcaHk0RQPFP73vqVR,"['electropop', 'pop']",0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537
340,Intentions (feat. Quavo),Justin Bieber,4umIPjkehX1r7uhmGvXiSV,"['canadian pop', 'pop', 'post-teen pop']",0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986
341,La Pared,Cupido,6k436htnE7M4QXXWOjhTYZ,"['rap espanol', 'urbano espanol']",0.635,0.373,11,-8.727,1,0.0312,0.111,0,0.287,0.251,119.841
342,100 Preguntas,Ozuna,21Oh0PHE9KQPXPUvXk7sY9,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",0.768,0.462,5,-5.907,1,0.0369,0.689,0,0.114,0.605,104.008
343,Forever (feat. Post Malone & Clever),Justin Bieber,2ZlCGeK30BLRNSPC832pNZ,"['canadian pop', 'pop', 'post-teen pop']",0.825,0.483,8,-5.746,0,0.08,0.538,1.48e-05,0.204,0.892,139.98
344,No Quiero Verte,"Rvfv, Keen Levy",4SPqRLaD6GI2ZdF8vyctsz,"['flamenco urbano', 'trap latino', 'urbano espanol']",0.795,0.638,7,-4.717,0,0.0638,0.17,0,0.284,0.704,104.93
345,Como Panas,Bryant Myers,07MrcfLozSPBfEI8GPOZgc,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",0.638,0.61,10,-5.929,0,0.213,0.404,0,0.146,0.379,157.956
346,BORRAXXA,"Feid, Manuel Turizo",6zbDSB7Wb6ZRwozToXCVRI,"['colombian pop', 'latin', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']",0.854,0.617,8,-5.251,1,0.0822,0.104,0.00207,0.0862,0.794,90.993
347,Cinderella,Ayax y Prok,48LCnGeww8DfeXVc5V3tAR,['urbano espanol'],0.69,0.847,6,-5.631,0,0.214,0.127,0,0.0818,0.49,94.017
348,La Forma en Que Me Miras,"Super Yei, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",6t94PGXYAuo9GbJEnMpPcW,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",0.656,0.662,1,-1.387,1,0.191,0.149,8e-06,0.16,0.573,189.983
349,Por la boca vive el pez,Fito y Fitipaldis,24UStI5AYA7g5ufFDh3LH0,"['cantautor', 'latin rock', 'rock en espanol', 'spanish pop']",0.641,0.892,0,-2.812,0,0.0303,0.255,1.01e-05,0.221,0.841,151.229
350,I Follow Rivers,Eva B,7CNn0GWJkqul7GFwId0mEB,"['latin talent show', 'latin viral pop']",0.703,0.722,9,-5.915,0,0.0386,0.296,6.48e-05,0.113,0.591,121.993
351,La Sandunguera,Anaju,7pyTCGCNDvQLqSzS7FEbpo,"['latin talent show', 'latin viral pop']",0.578,0.382,9,-7.878,1,0.31,0.0504,0,0.324,0.485,78.665
352,Run the World (Girls),NIA,2aOGYEHO9k5SrPJ3gV5c9U,['latin viral pop'],0.771,0.723,8,-7.949,1,0.0664,0.0585,3.35e-05,0.318,0.427,127.019
353,Soldadito de Hierro (feat. Dani Fernández),Nil Moliner,4pZexFtInZMw1mf6S5l13M,"['latin viral pop', 'spanish pop']",0.506,0.444,9,-7.981,1,0.127,0.601,0,0.113,0.255,87.214
354,Reproches,Ayax y Prok,3L6RhaS4ISh8GSagrFMFZn,['urbano espanol'],0.641,0.907,4,-6.938,1,0.356,0.432,0,0.278,0.382,92.881
355,After Hours,The Weeknd,2p8IUWQDrpjuFltbdgLOag,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959
356,Gitana (feat. Sergio Contreras y Demarco Flamenco),Rasel,0WA73uP8IO1rczj8FFJzRg,"['electro latino', 'flamenco urbano', 'pop flamenco']",0.822,0.88,0,-4.372,1,0.125,0.181,0,0.258,0.67,98.023
357,NADA (with Lauren Jauregui & C. Tangana),Tainy,1HxapZ1SrjH5LoYGz9aA4Z,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino']",0.826,0.504,8,-7.355,1,0.14,0.152,4.89e-05,0.369,0.509,91.999
358,Despacio,"Natti Natasha, Nicky Jam, Manuel Turizo, Myke Towers, DJ Luian, Mambo Kingz",203uubEQA07to1kbro35qQ,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",0.782,0.644,10,-3.929,1,0.0809,0.585,0,0.108,0.695,93.013
359,Más y Más,"Omar Montes, Ñengo Flow",4i0sSXYpBLMnhHc7jnI5v2,"['flamenco urbano', 'trap latino', 'urbano espanol']",0.699,0.772,11,-3.114,1,0.263,0.269,0,0.039,0.429,89.979
360,Belfast,"Juancho Marqués, FERNANDOCOSTA, InnerCut",5BsmUIjgwobAwCh1WMvQip,"['rap espanol', 'spanish hip hop', 'urbano espanol']",0.782,0.586,10,-7.37,1,0.209,0.118,0,0.0776,0.501,90.024
361,Angelito,"Recycled J, Aleesha",6Q4v5tWo0jiKFauigcvV7U,"['rap espanol', 'urbano espanol']",0.718,0.651,2,-5.297,0,0.113,0.124,0,0.123,0.326,89.88
362,TBT,"Sebastian Yatra, Rauw Alejandro, Manuel Turizo",4s45VgkknMFkdiGoUcjxQU,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.794,0.855,2,-1.959,1,0.0466,0.0362,0,0.142,0.639,91.963
363,Atrevido,"Trueno, ONIRIA, TATOOL, Taiu",6tMqYyCVU2aKgUahMvJz2S,"['argentine hip hop', 'trap argentino', 'trap latino']",0.864,0.64,8,-5.489,1,0.106,0.236,0,0.374,0.858,135.021
364,Ahora Dice Que Me Ama,Bandaga,2Z3RqW9jfl62il0R4q8wQy,"['flamenco urbano', 'trap latino', 'urbano espanol']",0.848,0.615,1,-5.675,0,0.192,0.165,0,0.181,0.48,119.964
365,Si Me Dices Que Sí,"Reik, Farruko, Camilo",56Ta1O7Jxxpjnc6cWdDKUo,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']",0.578,0.634,8,-5.979,0,0.333,0.00473,0,0.132,0.216,183.89
366,Feel Me,Selena Gomez,0CsCXZUxnjaHWGkuBUssiZ,"['dance pop', 'pop', 'post-teen pop']",0.71,0.808,2,-6.703,0,0.0433,0.44,0.000773,0.0734,0.387,99.989
367,MERA (with Dalex & Álvaro Díaz),"Tainy, Alvaro Diaz",3mr13zNWprAzYYY0RinBCp,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino']",0.539,0.685,2,-7.26,0,0.126,0.0115,4.82e-06,0.317,0.298,194.114
368,MIB,Myke Towers,7z9chavxReUpyOZoAkUnUb,['trap latino'],0.92,0.561,1,-4.217,1,0.149,0.184,0,0.0768,0.631,129.981
369,Por Última Vez,Nil Moliner,4VmVG1s2N9ZglNq2Hd7Ub7,"['latin viral pop', 'spanish pop']",0.641,0.398,8,-9.614,1,0.0356,0.618,0,0.186,0.658,85.023
370,ON,BTS,2QyuXBcV1LJ2rq01KhreMF,"['k-pop', 'k-pop boy group']",0.583,0.817,9,-5.146,0,0.0987,0.118,0,0.338,0.438,105.936
371,Trukitos,"Lennis Rodriguez, Denyerkin",0ofQFmf4hNoRoBaDjwDOZU,"['dominican pop', 'urbano espanol']",0.839,0.805,2,-3.913,1,0.0644,0.454,0.00628,0.0843,0.806,94.007
372,La Lista de la Compra,"Rafa Romera, Samantha",4xhUrrFtjL8FK0qoYU2YBc,['latin talent show'],0.543,0.949,7,-4.4,1,0.0652,0.0939,0,0.0562,0.391,109.258
373,Una Mala (Remix),"El Completo Rd, Chimbala",2maGaB3fNqQnyrG3FDiaW3,[],0.864,0.81,5,-3.409,1,0.0442,0.25,9.59e-05,0.372,0.962,130.01
374,Dulcecitos (feat. Zion & Lennox),Piso 21,3UZ8b8lAZiaqqH6ggZqxCR,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.869,0.781,1,-3.082,0,0.178,0.45,0.000163,0.095,0.618,97.957
375,Rojo,J Balvin,2ysP4eGoInpNLEQjJwW3BD,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.652,0.595,11,-4.04,1,0.117,0.15,0.000106,0.0836,0.421,172.277
376,Stupid Love,Lady Gaga,7yBbV2k2S2uhaQc24NF2xt,"['dance pop', 'pop', 'post-teen pop']",0.68,0.825,8,-4.296,1,0.0702,0.00173,0.000122,0.27,0.784,117.987
377,En otra historia,Don Patricio,6qr5QZueNxjHMWPMls8G6l,"['trap latino', 'urbano espanol']",0.529,0.636,1,-6.131,0,0.33,0.581,0.0173,0.155,0.544,92.074
378,Berlín,"Juancho Marqués, Cruz Cafuné, InnerCut",2U4upbdTGF37jCZyZjJjga,"['rap espanol', 'spanish hip hop', 'urbano espanol']",0.772,0.545,11,-8.139,0,0.266,0.125,0,0.0835,0.368,90.055
379,algo duele más,"Natalia Lacunza, BRONQUIO",2v7qpF9B6c8BZvO5RfOW1U,"['eurovision', 'latin talent show', 'latin viral pop']",0.536,0.5,7,-7.985,1,0.398,0.173,0,0.166,0.423,158.466
380,Ganas de Ti,"Wisin & Yandel, Sech",4kuQJb8ghj6268fBTtB3bX,"['electro latino', 'latin', 'latin hip hop', 'reggaeton', 'trap latino']",0.81,0.82,11,-3.497,1,0.0698,0.201,0,0.13,0.672,92.999
381,Al Santo Equivocado,Ariadna,4MpWnVFla5ktrnRoN3WfMn,['latin talent show'],0.537,0.0822,7,-12.248,0,0.0347,0.949,0,0.112,0.159,125.831
382,Dispo,"Brytiago, Jhay Cortez",4CsCOUmdEG1CD5vgfBq2hv,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",0.786,0.661,11,-6.254,0,0.213,0.272,0,0.0852,0.434,180.064
383,No Encuentro Palabras,"Abraham Mateo, Manuel Turizo",5NJSLryp5WviTmppF33Peg,"['latin', 'latin arena pop', 'latin pop', 'latin viral pop', 'reggaeton', 'spanish pop']",0.742,0.694,2,-6.178,1,0.0658,0.152,0,0.0979,0.63,93.044
384,LOCO (feat. Dark Polo Gang),Kidd Keo,2re7ZWaA4ooTMyO7QF5g4W,"['trap latino', 'trap triste', 'urbano espanol']",0.767,0.457,10,-4.939,0,0.172,0.271,0.00404,0.153,0.21,91.951
