,Track,Artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
156,Contra La Pared,"Sean Paul, J Balvin",37eGbhE1xVFSvcKkqGb6i1,0.828,0.588,2,-7.14,1,0.118,0.0156,0,0.124,0.598,94.052
157,Desde cero (con Melendi),Beret,3RfmZepJErldBC4JXut6L9,0.495,0.461,2,-8.158,1,0.0496,0.249,0,0.126,0.25,113.029
158,Baila Baila Baila,Ozuna,5PXsZaT8cOxb4mXrA20PMQ,0.837,0.626,11,-5.674,0,0.152,0.0588,0,0.252,0.592,99.987
159,Mujer Bruja,"Lola Indigo, Mala Rodríguez",5x2soJ7RtUkiQL4yyx1NZh,0.773,0.917,10,-2.166,0,0.0629,0.0946,0.000106,0.0885,0.763,105.964
160,Amanece,"Anuel AA, Haze",1LiN0Z98FkR1t0m8KmLcAH,0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039
161,Bonita,"Juanes, Sebastian Yatra",4U6XvmCiffuXegYp6UGvxw,0.745,0.881,0,-2.587,1,0.0506,0.255,0,0.25,0.961,157.985
162,Santa María (Feat. Busy Signal),Bad Gyal,4R0sTxCaskwCPbzkfXHfWg,0.764,0.603,0,-6.951,1,0.328,0.0538,0,0.097,0.427,142.465
163,Lalala,"Y2K, bbno$",51Fjme0JiitpyXKuyQiCDo,0.843,0.39,2,-7.899,1,0.0846,0.178,0,0.137,0.495,129.972
164,No Te Veo - Remix,"Casper Magico, Anuel AA",0stKSegkdrfLTDvm5sIO38,0.861,0.786,1,-3.833,1,0.229,0.485,2.44e-05,0.113,0.778,104.017
165,"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX","DJ Snake, J Balvin",5QXQy0f2q8wJNpPwJtjifx,0.789,0.694,6,-5.781,0,0.0729,0.0982,0,0.0962,0.549,96.035
166,Bohemian Rhapsody - Remastered 2011,Queen,7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0,-9.961,0,0.0536,0.288,0,0.243,0.228,143.883
167,Cuando Nadie Ve,Morat,3xayrGBrMm7XzKcTIJXGWv,0.804,0.788,1,-4.586,0,0.0598,0.118,0,0.215,0.837,96.007
168,Date La Vuelta,"Luis Fonsi, Sebastian Yatra, Nicky Jam",5lwVd35Zg6DJ4qibVMq99H,0.747,0.825,6,-2.903,1,0.0566,0.0487,0,0.107,0.866,94.006
169,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",2YpeDb67231RjR0MgVLzsG,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041
170,Cuando zarpa el amor (feat. Juan Magán),Camela,4TD052UwarqucOo1fsTq6P,0.802,0.707,1,-4.126,0,0.0499,0.145,0,0.092,0.597,100.028
171,Ride It,Regard,2tnVG71enUj33Ic2nFN6kZ,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948
172,HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469
173,Mi Persona Favorita,"Alejandro Sanz, Camila Cabello",34rDeMNEkf0iEU9Mv8yzM7,0.581,0.659,8,-7.511,1,0.116,0.538,0,0.0656,0.577,155.945
174,Cristina,Sebastian Yatra,1oPv0wmfsluumWcvtGh7tX,0.411,0.508,5,-4.342,1,0.0556,0.29,0,0.123,0.668,81.96
175,Boomshakalaka,"Dimitri Vegas & Like Mike, Afro Bros, Sebastian Yatra, Camilo, Emilia",4yb5Z9dwnKhO9gC0AZQYDe,0.727,0.824,1,-2.983,1,0.0508,0.0132,0.00145,0.0631,0.805,96.063
176,¿Qué Ha Pasao'?,"Abraham Mateo, Sofía Reyes",2zkVH2daHyjS51g7PRJFDn,0.648,0.752,7,-4.13,1,0.133,0.315,0,0.201,0.405,178.228
177,Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
178,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",74j34STf8L6uADnTN69ohv,0.771,0.769,0,-3.504,0,0.0694,0.18,1.57e-05,0.345,0.931,167.969
179,Lose You To Love Me,Selena Gomez,4l0Mvzj72xxOpRrp6h8nHi,0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819
180,Antes de Morirme (feat. Rosalía),"C. Tangana, ROSALÍA",4Dl8bEzhAEGbcwkQawS1XG,0.864,0.497,8,-8.886,0,0.18,0.0736,0.00308,0.108,0.133,97.93
181,Te esperaré toda la vida,Dani Fernández,6MCPhEshiLRXgdFKqvr478,0.75,0.63,7,-5.223,1,0.0409,0.22,0,0.132,0.85,128.028
182,Me Rehúso,Danny Ocean,6De0lHrwBfPfrhorm9q1Xl,0.744,0.804,1,-6.327,1,0.0677,0.0231,0,0.0494,0.426,104.823
183,Despacito,"Luis Fonsi, Daddy Yankee",6habFhsOp2NvshLv26DqMb,0.655,0.797,2,-4.787,1,0.153,0.198,0,0.067,0.839,177.928
184,24H,Kidd Keo,66BJaWvpA3jvXpM5Hjwzz1,0.941,0.637,8,-6.357,1,0.223,0.747,0.000381,0.11,0.691,96.987
185,Te Soñé de Nuevo,Ozuna,4oPnxZzoc8HM5Pva4FDeIp,0.851,0.585,5,-5.789,0,0.105,0.0913,0,0.0742,0.699,84.0
186,Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903
187,How Do You Sleep?,Sam Smith,6b2RcmUt1g9N9mQ3CbjX2Y,0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567
188,Cicatrices,Natos y Waor,19OsDvOm2hw28Bqg7wo4Ox,0.718,0.814,8,-5.467,1,0.345,0.695,0,0.125,0.27,120.04
189,Vaina Loca,"Ozuna, Manuel Turizo",48zFZh27QU5qsrBjn4C2FA,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.982
190,My Oh My (feat. DaBaby),Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046
191,Patek,"Ozuna, Anuel AA, Snoop Dogg",2f237byd0A2w0fLlnVDOV4,0.839,0.554,0,-6.124,1,0.181,0.418,0,0.0923,0.727,139.952
192,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,0KoiMHhqKLoL4xM54rcWYY,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881
193,Que Mas Pues - Remix,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",7fODjB7BrQTGqh0hogW6XD,0.647,0.661,11,-5.027,1,0.2,0.121,2.27e-06,0.12,0.811,113.358
194,DOLLAR,"Becky G, Myke Towers",4ziiAuFyXiY1HNSLGM1xv8,0.862,0.5,2,-6.875,1,0.276,0.232,0,0.657,0.697,76.992
195,Si Se Da,"Myke Towers, Farruko",5KbBGUpIZd6gVFUU8tqYiQ,0.83,0.71,11,-5.523,0,0.326,0.374,0,0.0877,0.703,93.977
196,NI BIEN NI MAL,Bad Bunny,278kSqsZIiYp8p3QjYAqa8,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028
197,Rebota - Remix,"Guaynaa, Nicky Jam, Farruko, Becky G, Sech",3dWpRjCmaHbroNahuSeX11,0.885,0.857,0,-2.279,0,0.204,0.205,0,0.671,0.818,90.025
198,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,2KK9N6iBAisA0booTu3bGd,0.831,0.777,11,-4.456,0,0.174,0.356,0,0.0796,0.598,95.973
199,Enamórate De Alguien Más,Morat,0cj54g6Oud96SqxeXjUXVd,0.592,0.643,11,-5.608,1,0.0321,0.466,0,0.315,0.579,145.979
200,Superpoderes,Leiva,3by1RwAsoZ6nNoMOCy11LM,0.346,0.744,2,-5.622,1,0.0322,0.00106,1.06e-06,0.0961,0.382,175.642
201,Te echo de menos,Beret,3gPOFPYLgpvQz0ZMwmv7NE,0.658,0.714,0,-5.086,1,0.175,0.206,0,0.114,0.362,159.9
202,"Quiero, Quiero y Quiero",Arnau Griso,1LyZX8u8DqVFULMViZUwcn,0.771,0.748,6,-5.18,1,0.033,0.0993,0,0.105,0.774,107.954
203,Tequila y Candela,Marlon,05j1BaD4oL8WnNJyIKdpgc,0.605,0.804,7,-4.049,1,0.0629,0.0338,0,0.0741,0.732,92.022
204,Si te vas,Blas Cantó,5x7Rc2xI7coy4TAwwhsrcF,0.604,0.6,2,-8.496,1,0.0389,0.243,0,0.251,0.24,93.982
205,Nada Sale Mal,Aitana,51ltTOzVJWp3BUHzYrRxEa,0.829,0.635,2,-5.429,0,0.132,0.282,5.08e-06,0.0837,0.402,148.096
206,Déjame Ser,Manuel Carrasco,30QMFZtiGzjKwyHiqQ3z7c,0.625,0.854,1,-5.939,1,0.123,0.312,0,0.123,0.737,171.949
207,Besos En Guerra,"Morat, Juanes",5FaRfiNLdSzV3eRh8GZmdC,0.691,0.973,2,-3.586,1,0.048,0.126,0,0.101,0.783,143.961
208,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),"Dvicio, Jesús Reik",4txQPJDlvU72lC6EMhT7m9,0.744,0.836,2,-3.267,1,0.0592,0.0811,4.21e-06,0.166,0.524,91.984
209,Un Planeta Llamado Nosotros,Maldita Nerea,29UkXUrWYGoPsxEesEH3qZ,0.66,0.512,10,-8.085,1,0.066,0.186,0,0.0921,0.819,100.85
210,Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048
211,Mejores Amigos,"Yera, Morat",7tQ24skemknA6PPh6gwFi1,0.624,0.74,4,-6.965,1,0.0363,0.156,0,0.103,0.905,89.983
212,Me mata,Beret,4nkqwaMRa1mLvTaOSyYkx2,0.733,0.846,7,-3.692,1,0.0662,0.309,0,0.0947,0.961,176.009
213,Runaway,"Sebastian Yatra, Daddy Yankee, Natti Natasha, Jonas Brothers",7bykh4rqe95kQsJSPtqal1,0.756,0.851,2,-3.33,1,0.0675,0.0336,0,0.126,0.934,75.014
214,Sobrenatural,"Juan Magán, Alvaro Soler, Marielle Hazlo",1cYXPXbIR0FxurYVMGnwIN,0.715,0.787,6,-5.253,1,0.0681,0.247,0,0.106,0.567,91.978
215,LA LATINA,Rels B,0FqT9GmM94Zd0WreIvOFwB,0.847,0.79,6,-6.452,1,0.0382,0.352,0.012,0.0893,0.587,136.004
216,SIN MIRAR LAS SEÑALES,Rels B,7fM24rKaYCTGf85Lj8U2pk,0.754,0.481,0,-7.91,1,0.444,0.387,0,0.35,0.289,83.907
217,Oye,"TINI, Sebastian Yatra",7s71lxoaaj6r2YrKxLwtlA,0.683,0.511,7,-7.894,0,0.0641,0.448,0,0.175,0.256,95.087
218,Only Human,Jonas Brothers,0DiDStADDVh3SvAsoJAFMk,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01
219,Mi Religión,Nil Moliner,5zNlrLpJFZt3RvRe9A0Hed,0.851,0.729,5,-5.046,1,0.0275,0.267,1.21e-06,0.197,0.973,106.011
220,YYANOSÉ,"Israel B, LOWLIGHT",1IhilFt1G3xdXf84qZhlTg,0.774,0.635,2,-6.474,0,0.556,0.243,0,0.108,0.416,175.8
221,Liar,Camila Cabello,7LzouaWGFCy4tkXDOOnEyM,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016
222,Yummy,Justin Bieber,5AgsDLaR50nwwb6UUrQ5pD,0.677,0.506,9,-6.652,0,0.0964,0.345,0,0.118,0.497,145.843
223,De Ti Me Olvido,"Love Yi, Recycled J, Naes Beats",5OHFuqSFkdQ7PA5pMBD7ML,0.704,0.63,6,-5.793,1,0.102,0.206,0,0.235,0.551,105.99
224,En Tus Planes,David Bisbal,5fmXWEFh8vMXzKTHN9ezKV,0.813,0.78,11,-3.768,0,0.162,0.284,0,0.0351,0.79,92.014
225,La Playa - Remix,"Myke Towers, Maluma, Farruko",70zg99pT51vB4wlMS7e4q7,0.775,0.633,10,-3.332,0,0.133,0.201,0,0.219,0.394,140.008
226,Perdón,"David Bisbal, Greeicy",0F6VPyUuJOPqt8E2uknv4R,0.673,0.849,11,-4.528,0,0.0843,0.291,0,0.124,0.961,179.992
227,A Partir De Hoy,"David Bisbal, Sebastian Yatra",0CjB14hkfXOy66C4ST0Mzy,0.652,0.847,6,-5.035,1,0.0552,0.188,0,0.378,0.515,163.942
228,PORFA,"Feid, Justin Quiles",1qObBLpp5guA4bV0TkJOKN,0.843,0.549,6,-8.018,0,0.164,0.0948,0,0.155,0.542,83.982
229,Loco,Beéle,2J9B63FawlTaPdg4eH5X03,0.82,0.565,6,-5.965,1,0.17,0.158,2.45e-05,0.0469,0.773,105.11
230,No Idea,Don Toliver,7AzlLxHn24DxjgQX73F9fU,0.652,0.631,6,-5.718,0,0.0893,0.524,0.000579,0.165,0.35,127.998
231,Fantasmita - Remix,"Casper Magico, Bryant Myers, Alex Rose, Juhn",5NOHsDSfLIH45y3i9PfRyh,0.707,0.87,7,-2.958,1,0.103,0.246,1.97e-06,0.0664,0.801,173.938
232,The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971
233,Aleluya,"Reik, Manuel Turizo",23CsjGOYDQiJpX44BSn9TM,0.81,0.716,8,-2.3,1,0.0694,0.0478,0,0.0678,0.689,96.029
234,El Ciego,"Melendi, Cali Y El Dandee",2P8NagN2tEzXRIufGuUPZO,0.594,0.647,0,-8.184,1,0.204,0.124,0,0.128,0.397,151.558
235,Muévelo,"Nicky Jam, Daddy Yankee",4VgYtXCVJ7IbWAZ5ryfvEQ,0.594,0.808,7,-2.409,1,0.0489,0.415,1.39e-05,0.565,0.919,188.09
236,Deja A Ese Idiota,Antonio José,4zWsyCnFg74xy5OFVAJNSD,0.67,0.547,9,-5.554,1,0.0436,0.165,0,0.0878,0.873,94.012
237,"Y, ¿Si Fuera Ella? - + Es +","Pablo Alborán, David Bisbal, Antonio Carmona, Jesse & Joy, Juanes, Pablo López, Malú, Vanesa Martín, India Martinez, Antonio Orozco, Niña Pastori, Laura Pausini, Abel Pintos, Rozalén, Shakira, Tommy Torres, Manuel Carrasco",6fiC7Kc7CMN2IKcLDCO6mp,0.459,0.536,5,-5.76,1,0.0304,0.34,0,0.209,0.203,75.999
238,Celébrate,Miki Núñez,60TClTKDePeUjKyfotkLEg,0.628,0.755,7,-3.981,1,0.0545,0.0951,0,0.0825,0.782,172.16
239,Pikete italiano,KvndySwing,2jGtKxyWHULVXbT75IWGZG,0.835,0.473,8,-6.672,1,0.216,0.327,0,0.258,0.263,95.002
240,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,4vUmTMuQqjdnvlZmAH61Qk,0.857,0.621,9,-6.376,0,0.0825,0.148,0,0.0865,0.668,97.989
241,Yelo,C. Tangana,3OUPJPD1OmFd8gL7ztY9v8,0.826,0.67,11,-3.806,1,0.0348,0.421,8.21e-06,0.205,0.792,135.038
242,Morado,J Balvin,28agAPVrhrfXyTithYbj61,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002
243,Rare,Selena Gomez,576VTTVB4AkHvIBnX0ls67,0.838,0.541,5,-6.746,1,0.0708,0.207,7.97e-05,0.103,0.637,114.996
244,Mi Isla / 10k,Cruz Cafuné,6hk2AhbfCm2aQvfnS5avUm,0.845,0.495,8,-7.942,1,0.189,0.288,0,0.124,0.624,140.01
245,You should be sad,Halsey,7lidXGPXPYLNThITAOTlkK,0.591,0.585,2,-6.35,1,0.0277,0.143,0,0.109,0.324,110.94
246,Moonlight,"Cruz Cafuné, Alba Reche",0EGGa3h5zNpeLN3D5OSxxs,0.806,0.718,6,-7.419,0,0.0821,0.0481,1.27e-06,0.119,0.598,129.946
247,Life Is Good (feat. Drake),Future,5yY9lUy8nbvjM1Uyo1Uqoc,0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037
248,Look At Her Now,Selena Gomez,7eOkHIcaoUhngxxypM5Ajr,0.753,0.564,10,-7.908,0,0.252,0.114,0.0273,0.359,0.55,77.342
249,"Trueno: Bzrp Freestyle Sessions, Vol. 6","Bizarrap, Trueno",4jTKJOFxaqEcm558JYi4Dh,0.778,0.739,1,-5.453,1,0.285,0.74,8e-05,0.0857,0.496,150.033
250,Me Gusta,"Shakira, Anuel AA",5Xhqh4lwJPtMUTsdBztN1a,0.775,0.696,1,-5.184,0,0.0681,0.0559,0.00184,0.157,0.775,92.007
251,Mi accidente preferido (con Juancho Sidecars y Sidecars),Despistaos,6uIp5wIJ8itWmnfsR0oZA9,0.626,0.689,7,-5.344,1,0.0256,0.188,0,0.152,0.58,97.975
252,Dream Girl - Remix,"Ir Sais, Rauw Alejandro",099tjv6oy2opbpCOA3nBwX,0.767,0.643,5,-5.225,1,0.101,0.216,0.000104,0.0806,0.536,169.99
253,Orphans,Coldplay,0h4T9x0FUmc5kwheAyR0gP,0.82,0.827,9,-6.672,1,0.0614,0.077,0.105,0.103,0.62,112.964
254,Pegamos Tela,"Lérica, Omar Montes, Abraham Mateo",4punHldq7Jfx0Plu7SdjQ0,0.679,0.857,2,-3.137,1,0.0783,0.086,0,0.245,0.855,169.999
255,Etapas raras,FERNANDOCOSTA,0bZoCs8KZzPC3TSXsyiZN3,0.768,0.781,9,-7.024,0,0.387,0.388,0,0.29,0.883,88.912
256,Maldad (with Maluma),Steve Aoki,35HXnvswjdVWjQRmqtXPJD,0.598,0.809,1,-4.168,1,0.138,0.00179,8.41e-05,0.259,0.653,104.784
257,Godzilla (feat. Juice WRLD),Eminem,7FIWs0pqAYbP91WWM0vlTQ,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995
258,Black Swan,BTS,3bkkMZEAhx7rTVz1C0itRQ,0.719,0.758,2,-5.167,0,0.0851,0.137,0,0.129,0.49,147.023
259,What A Man Gotta Do,Jonas Brothers,4wNIkl5XGiAACjFBlDWuSd,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039
260,Good News,Mac Miller,1DWZUa5Mzf2BwzpHtgbHPY,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088
261,Ocean,KAROL G,4XEDuWzlfM8s6ki9KEaB38,0.727,0.482,11,-6.193,1,0.115,0.933,0,0.388,0.487,74.93
262,Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949
263,Another Love,"Flavio, Anne Lukin",4d4GpYnTEr7KATcLhCJwpY,0.481,0.355,1,-8.587,0,0.0578,0.814,1.34e-05,0.119,0.283,121.72
264,Little Talks,"Eva B, Nick Maylo",7bjz5QnPtcXPh8hg3sqjsy,0.324,0.441,4,-11.02,1,0.0451,0.0341,0,0.0862,0.288,205.688
265,Up,"Gèrard, Anaju",5Hg8kZ74hnAGNBFBdyqaWT,0.75,0.741,8,-7.062,1,0.0403,0.338,0,0.0643,0.766,115.034
266,Copenhague,Vetusta Morla,4bZEZhCq2kqUxnMacXVl5x,0.559,0.742,9,-3.945,1,0.0243,0.411,0.0107,0.133,0.482,92.959
267,Medley Marisol: Estando Contigo / Ola Ola Ola / Tómbola,Operación Triunfo 2020,14cWe74efv6hCozh3PBnYJ,0.564,0.823,7,-4.158,1,0.0704,0.273,0,0.228,0.874,99.759
268,Tu Calorro,"Rafa Romera, Hugo Cobo",6iaAoSy62eV3PvKC4ntfe0,0.705,0.896,0,-4.501,1,0.09,0.134,0,0.28,0.923,88.056
269,Tu Calorro,Estopa,0DXI6c9tNWsI4tvUftkQN8,0.713,0.768,0,-9.115,1,0.0662,0.229,0,0.447,0.962,88.012
270,Another Love,Tom Odell,7otCGmgp9h4CsR2LhwB6gt,0.445,0.537,4,-8.532,0,0.04,0.695,1.6e-05,0.0941,0.131,122.764
271,Good as Hell,"Ariadna, NIA",0fkWEUbik3OpBVgmG8WA4x,0.487,0.619,5,-11.423,0,0.0544,0.288,0.00013,0.108,0.474,192.0
272,Te Espero Aquí,"Samantha, Javy Ramírez",2XRvYHFMNZ19C0HGjdSoqk,0.599,0.538,6,-8.397,1,0.0371,0.51,0,0.0826,0.452,152.003
273,Vuelve,"Sebastian Yatra, Beret",4Rh3dvV5yO7C8T5niXtjRX,0.692,0.49,11,-6.077,1,0.0464,0.466,0,0.109,0.255,155.831
274,La Mejor Versión de Mi - Remix,"Natti Natasha, Romeo Santos",2dy3TKVDEbIeWxeIb8JWqZ,0.735,0.712,11,-5.119,0,0.0326,0.732,0,0.302,0.894,131.938
275,Juro Que,ROSALÍA,3ZwQCZ2LuYwuQ6R1p1CJ3w,0.645,0.495,11,-6.77,0,0.107,0.845,0.000534,0.333,0.627,81.852
276,Viene y Va,"C. Tangana, Natti Natasha",1UozIJsPRJVXDRG08AgUQP,0.808,0.719,7,-5.544,1,0.0485,0.269,7.84e-05,0.066,0.892,99.011
277,olvídate de mí,Natalia Lacunza,4b0JCrKBUgl3VQYhxcxwdv,0.814,0.267,10,-12.166,1,0.0808,0.446,1.95e-05,0.0921,0.335,103.97
278,MONEY TILL I DIE,Kidd Keo,6ZduOnp4rOkKcqsMj9hTFE,0.689,0.619,9,-7.02,0,0.0721,0.277,0,0.291,0.235,152.042
279,Girl,Myke Towers,43NqTeL8pgBxKHPMiJKUP5,0.733,0.708,6,-4.957,1,0.0937,0.0325,0.000327,0.324,0.694,93.021
280,Piensan,Myke Towers,1A9PKAFEHMWgXNLpgf7k4J,0.677,0.722,2,-4.443,0,0.0626,0.538,0,0.11,0.786,172.0
281,Goteo - Remix,"Duki, Ronny J, Pablo Chill-E, Capo Plaza, C.R.O, Asan",5widvMUA2hiilH1RpOl5aM,0.675,0.814,1,-2.793,1,0.0417,0.182,0,0.451,0.544,147.964
282,Dama y vagabundo,"Nyno Vargas, Juan Magán",1zv4Q2mgNdoqDtVAF7TQAA,0.696,0.836,9,-5.066,1,0.0439,0.517,0,0.149,0.942,91.958
283,Bailando,Nil Moliner,27NTdNyp9n5B4lswgGikG3,0.718,0.742,0,-5.761,1,0.0467,0.132,0,0.298,0.944,140.055
284,Una Foto en Blanco y Negro,"David Otero, Taburete",4BNqM0h2wukiQkAUKZjurV,0.562,0.835,2,-5.318,1,0.0329,0.267,0,0.0971,0.531,133.006
285,Borracho De Amor,"Cali Y El Dandee, Reik",4QtQgsK7DChmU4EM5NtqyK,0.527,0.771,9,-2.178,1,0.0634,0.0511,0,0.0948,0.857,92.746
286,Forever Yours - Avicii Tribute,"Kygo, Sandro Cavazza",7HiBJuUqPVQw01IBL3bQpu,0.53,0.612,10,-8.794,1,0.0518,0.253,0,0.246,0.433,119.255
287,Mi Consuelo,"Keen Levy, Rvfv",09N6IHJk5W8lr5JABx11lj,0.854,0.733,11,-4.905,0,0.0532,0.494,7.03e-06,0.106,0.732,110.011
288,Relación Rota,Myke Towers,5RClLxkUvnMWFUQ3VAQEHj,0.788,0.731,6,-5.163,0,0.144,0.544,6.8e-05,0.286,0.829,160.147
289,Sucker,"Gèrard, Hugo Cobo",0TGJZYfUMrXkBik9cNA9KL,0.813,0.629,9,-7.027,0,0.0885,0.24,0,0.0463,0.976,137.989
290,Copenhague,"Eva B, Flavio",4hzvcicvufeGlzqf8iXHjE,0.576,0.787,9,-6.363,1,0.0241,0.279,0,0.108,0.741,93.001
291,when the party's over,Billie Eilish,43zdsphuZLzwA9k4DJhU0I,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642
292,Ronca,Myke Towers,0WxhO7pvOWqFJRMBQ3q3B2,0.812,0.595,1,-6.478,1,0.133,0.28,0,0.176,0.528,90.005
293,No Me Olvida,"Robledo, Omar Montes, Quimico Ultra Mega",2N1YUkjeP4Zdbhhf0nKOoD,0.855,0.802,7,-3.29,1,0.109,0.15,0,0.289,0.437,99.992
294,Mina el Hammani,Cruz Cafuné,09Ae1id448lmrfETbExaRc,0.851,0.476,11,-10.8,0,0.288,0.162,1.05e-05,0.168,0.223,124.992
295,Before You Go,Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881
296,Physical,Dua Lipa,3AzjcOeAmA57TIOr9zF1ZW,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967
297,Definitivamente,"Daddy Yankee, Sech",0UCVIBTr9NGHX8GRngNb7L,0.812,0.764,8,-3.39,0,0.101,0.59,0,0.253,0.431,100.082
298,Les Duele,Morad,0JC2yPGYZsO9zR9Bss3Hi8,0.765,0.785,8,-5.244,0,0.107,0.154,0,0.202,0.822,128.011
299,Lo Que Me Dé la Gana,Dani Martín,78jD6JCzohCt21a3rc26FB,0.508,0.903,7,-4.088,1,0.358,0.0609,0,0.146,0.539,191.996
300,Dónde Estás,KHEA,16DNJ8y6k97DxuMyV49W7V,0.706,0.622,7,-6.032,1,0.113,0.493,0,0.102,0.615,90.022
301,Get Me,"Justin Bieber, Kehlani",6zGPytJiZmFuyVq7RTNO9G,0.824,0.503,6,-6.94,0,0.156,0.05,5.25e-05,0.107,0.784,109.397
302,Universo,Blas Cantó,5CXzYfLqlNS70pt7vuVVHw,0.562,0.645,5,-6.498,1,0.0538,0.604,0,0.106,0.597,91.922
303,Diosa,Myke Towers,3JHpk0DOTOzyh0777JFAky,0.801,0.745,6,-3.733,0,0.063,0.398,0.00603,0.153,0.245,104.965
304,Tú,Myke Towers,7xX3wvvcZvxGCa06KlgTCp,0.805,0.744,5,-5.627,0,0.149,0.258,1.4e-05,0.277,0.825,123.999
305,Quédate conmigo,"Pole., Pilar Moxó",5tzOL69W6lCp4gAomIXMnJ,0.58,0.715,1,-4.74,1,0.0397,0.677,0,0.243,0.46,145.91
306,Shotgun,Flavio,6SihOhDSA4o9f4L6su8N4Z,0.69,0.764,3,-7.116,1,0.0585,0.361,1.51e-05,0.0992,0.699,115.668
307,Maniac,"Eva B, Samantha",4ZzQkRdkHQvLFesQiDbZbO,0.595,0.818,3,-7.602,0,0.0337,0.00559,2.33e-05,0.0359,0.92,158.952
308,La Despedida,"NIA, Gèrard",1zBIhnuggV5m9VrYUStKT1,0.446,0.244,1,-8.331,0,0.039,0.871,0,0.102,0.233,121.844
309,Besos,Operación Triunfo 2020,4S1PEdkbSNF4UO8Oi9bQop,0.649,0.733,2,-7.769,1,0.0237,0.00671,3.14e-06,0.121,0.928,104.973
310,Podría Ser Peor,"Bruno Alves, Anne Lukin",2mx09kQ1Jrvsi5SEeFhcSf,0.688,0.913,11,-6.471,1,0.0419,0.209,0,0.0852,0.882,124.995
311,Esperando - MUU Sessions,"Nil Moliner, Bely Basarte",3zmgPH9VI8UJYzhFYihmSz,0.619,0.541,0,-6.844,1,0.0362,0.522,0,0.111,0.382,122.124
312,Lose Control,"MEDUZA, Becky Hill, Goodboys",7CHi4DtfK4heMlQaudCuHK,0.598,0.526,10,-8.659,0,0.0415,0.129,0,0.14,0.529,123.935
313,Medusa,"Jhay Cortez, Anuel AA, J Balvin",3cp0qK5a7EjP40AfcvsNS4,0.887,0.598,0,-7.282,1,0.212,0.201,2.92e-06,0.109,0.394,98.019
