links_Name_name,links_Mov1_Name,links_Mov2_Mov2,links_Mov3_Mov3,links_Mov4_Mov4,links_Nature_Nature,links_Held_Item_Held_Item,links_Ability_Ability
,Heat Wave,,,,,,
,Thunder Wave,,,,,,
,Earthquake,,,,,,
,Scald,,,,,,
,Flamethrower,,,,,,
,Shadow Ball,,,,,,
,Double-Edge,,,,,,
,,Ice Beam,,,,,
,,U-turn,,,,,
,,Stone Edge,,,,,
,,Solar Beam,,,,,
,,Shadow Ball,,,,,
,,Overheat,,,,,
,,Flash Cannon,,,,,
,,Hidden Power,,,,,
,,Double Edge,,,,,
,,Flamethrower,,,,,
,,Shadow Ball,,,,,
,,Rock Slide,,,,,
,,Return,,,,,
,,Earthquake,,,,,
,,Thunder Wave,,,,,
,,Shadow Ball,,,,,
,,Ice Beam,,,,,
,,Flash Cannon,,,,,
,,Return,,,,,
,,Gyro Ball,,,,,
,,Recover,,,,,
,,Dark Pulse,,,,,
,,Encore,,,,,
,,Close Combat,,,,,
,,Low Kick,,,,,
,,Hidden Power (Ice),,,,,
,,Hidden Power (Ice),,,,,
,,Mach Punch,,,,,
,,Flash Cannon,,,,,
,,Close Combat,,,,,
,,Low Kick,,,,,
,,Ice Beam,,,,,
,,Rock Slide,,,,,
,,Hidden Power (Ice),,,,,
,,Mach Punch,,,,,
,,Flash Cannon,,,,,
,,Will-O-Wisp,,,,,
,,Ice Beam,,,,,
,,Psychic,,,,,
,,U-turn,,,,,
,,Spore,,,,,
,,Earth Power,,,,,
,,Thunderbolt,,,,,
,,Rock Slide,,,,,
,,Ice Beam,,,,,
,,Bug Buzz,,,,,
,,Flash Cannon,,,,,
,,Fake Out,,,,,
,,,Skill Swap,,,,
,,,Rock Slide,,,,
,,,Wide Guard,,,,
,,,Flamethrower,,,,
,,,Moonblast,,,,
,,,Earth Power,,,,
,,,Wide Guard,,,,
,,,Roost,,,,
,,,Low Kick,,,,
,,,Earth Power,,,,
,,,Psyshock,,,,
,,,Knock Off,,,,
,,,Low Kick,,,,
,,,U-Turn,,,,
,,,Swagger,,,,
,,,Moonblast,,,,
,,,Recover,,,,
,,,Earth Power,,,,
,,,Protect,,,,
,,,Power Whip,,,,
,,,Protect,,,,
,,,Earth Power,,,,
,,,Follow Me,,,,
,,,Snarl,,,,
,,,Fake Out,,,,
,,,Heat Wave,,,,
,,,Superpower,,,,
,,,Spore,,,,
,,,Substitute,,,,
,,,Wild Charge,,,,
,,,Sucker Punch,,,,
,,,Mirror Coat,,,,
,,,Superpower,,,,
,,,Taunt,,,,
,,,Protect,,,,
,,,Protect,,,,
,,,Icy Wind,,,,
,,,Tailwind,,,,
,,,Trick Room,,,,
,,,Rock Slide,,,,
,,,Rage Powder,,,,
,,,Ancient Power,,,,
,,,Taunt,,,,
,,,Stone Edge,,,,
,,,Recover,,,,
,,,Quiver Dance,,,,
,,,Wide Guard,,,,
,,,Low Kick,,,,
,,,,Trick Room,,,
,,,,Superpower,,,
,,,,Knock Off,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,King's Shield,,,
,,,,Tailwind,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Hidden Power,,,
,,,,Superpower,,,
,,,,Sucker Punch,,,
,,,,Protect,,,
,,,,Taunt,,,
,,,,Hidden Power (Ground),,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Sucker Punch,,,
,,,,Protect,,,
,,,,Scald,,,
,,,,Protect,,,
,,,,Air Slash,,,
,,,,Will-O-Wisp,,,
,,,,Sucker Punch,,,
,,,,Tailwind,,,
,,,,Rock Slide,,,
,,,,Protect,,,
,,,,King's Shield,,,
,,,,Extreme Speed,,,
,,,,Double-Edge,,,
,,,,Tailwind,,,
,,,,Knock Off,,,
,,,,Thunder Wave,,,
,,,,Spore,,,
,,,,Will-O-Wisp,,,
,,,,Protect,,,
,,,,Sunny Day,,,
,,,,Protect,,,
,,,,Earthquake,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Swagger,,,
,,,,Superpower,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,King's Shield,,,
,,,,Sucker Punch,,,
,,,,,Sassy,,
,,,,,Adamant,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Quiet,,
,,,,,Modest,,
,,,,,Modest,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Adamant,,
,,,,,Adamant,,
,,,,,Calm,,
,,,,,Modest,,
,,,,,Bold,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Brave,,
,,,,,Bold,,
,,,,,Modest,,
,,,,,Calm,,
,,,,,Impish,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Naive,,
,,,,,Jolly,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Adamant,,
,,,,,Calm,,
,,,,,Adamant,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Modest,,
,,,,,Timid,,
,,,,,Bold,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Relaxed,,
,,,,,Modest,,
,,,,,Bold,,
,,,,,Adamant,,
,,,,,Bold,,
,,,,,Modest,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,,Mental Herb,
,,,,,,Assault Vest,
,,,,,,Sitrus Berry,
,,,,,,Charizardite Y,
,,,,,,Pixie Plate,
,,,,,,Shuca Berry,
,,,,,,Safety Goggles,
,,,,,,Sitrus Berry,
,,,,,,Kangaskhanite,
,,,,,,Life Orb,
,,,,,,Choice Specs,
,,,,,,Assault Vest,
,,,,,,Kangaskhanite,
,,,,,,Focus Sash,
,,,,,,Sitrus Berry,
,,,,,,Choice Specs,
,,,,,,Wacan Berry,
,,,,,,Shuca Berry,
,,,,,,Kangaskhanite,
,,,,,,Rocky Helmet,
,,,,,,Maranga Berry,
,,,,,,Life Orb,
,,,,,,Sitrus Berry,
,,,,,,Leftovers,
,,,,,,Kangaskhanite,
,,,,,,Weakness Policy,
,,,,,,Life Orb,
,,,,,,Focus Sash,
,,,,,,Leftovers,
,,,,,,Choice Band,
,,,,,,Kangaskhanite,
,,,,,,Sitrus Berry,
,,,,,,Choice Band,
,,,,,,Life Orb,
,,,,,,Focus Sash,
,,,,,,Chople Berry,
,,,,,,Focus Sash,
,,,,,,Sitrus Berry,
,,,,,,Gardevoirite,
,,,,,,Choice Scarf,
,,,,,,Rocky Helmet,
,,,,,,Safety Goggles,
,,,,,,Sitrus Berry,
,,,,,,Choice Scarf,
,,,,,,Maranga Berry,
,,,,,,Life Orb,
,,,,,,Weakness Policy,
,,,,,,Kangaskhanite,
,,,,,,,Levitate
,,,,,,,Intimidate
,,,,,,,No Guard
,,,,,,,Blaze
,,,,,,,Pixilate
,,,,,,,Flash Fire
,,,,,,,Stance Change
,,,,,,,Pressure
,,,,,,,Scrappy
,,,,,,,Flash Fire
,,,,,,,Pixilate
,,,,,,,Intimidate
,,,,,,,Scrappy
,,,,,,,Intimidate
,,,,,,,Prankster
,,,,,,,Pixilate
,,,,,,,Competitive
,,,,,,,Flash Fire
,,,,,,,Scrappy
,,,,,,,Iron Barbs
,,,,,,,Competitive
,,,,,,,Levitate
,,,,,,,Serene Grace
,,,,,,,Intimidate
,,,,,,,Scrappy
,,,,,,,Pressure
,,,,,,,Intimidate
,,,,,,,Technician
,,,,,,,Stance Change
,,,,,,,Intimidate
,,,,,,,Inner Focus
,,,,,,,Pressure
,,,,,,,Intimidate
,,,,,,,Prankster
,,,,,,,Technician
,,,,,,,Flash Fire
,,,,,,,Levitate
,,,,,,,Pressure
,,,,,,,Telepathy
,,,,,,,Intimidate
,,,,,,,Regenerator
,,,,,,,Flash Fire
,,,,,,,Prankster
,,,,,,,Intimidate
,,,,,,,Competitive
,,,,,,,Flame Body
,,,,,,,Stance Change
,,,,,,,Scrappy
Tyranitar,,,,,,,
Amoonguss,,,,,,,
Thundurus,,,,,,,
Landorus,,,,,,,
Heatran,,,,,,,
Gardevoir,,,,,,,
Charizard,,,,,,,
Rotom (Wash),,,,,,,
Terrakion,,,,,,,
Cresselia,,,,,,,
Aegislash,,,,,,,
Landorus,,,,,,,
Aegislash,,,,,,,
Mawile,,,,,,,
Cresselia,,,,,,,
Amoonguss,,,,,,,
Terrakion,,,,,,,
Kangaskhan,,,,,,,
Thundurus,,,,,,,
Togekiss,,,,,,,
Suicune,,,,,,,
Landorus,,,,,,,
Kangaskhan,,,,,,,
Aegislash,,,,,,,
Jellicent,,,,,,,
Heatran,,,,,,,
Thundurus,,,,,,,
Landorus,,,,,,,
Sylveon,,,,,,,
Kangaskhan,,,,,,,
Milotic,,,,,,,
Conkeldurr,,,,,,,
Rotom (Heat),,,,,,,
Togekiss,,,,,,,
Hydreigon,,,,,,,
Metagross,,,,,,,
Aegislash,,,,,,,
Milotic,,,,,,,
Excadrill,,,,,,,
Salamence,,,,,,,
Rotom (Mow),,,,,,,
Tyranitar,,,,,,,
Kangaskhan,,,,,,,
Cresselia,,,,,,,
Heatran,,,,,,,
Landorus,,,,,,,
Charizard,,,,,,,
Sylveon,,,,,,,
,Crunch,,,,,,
,Spore,,,,,,
,Thunderbolt,,,,,,
,Rock Slide,,,,,,
,Flash Cannon,,,,,,
,Hyper Voice,,,,,,
,Heat Wave,,,,,,
,Will-O-Wisp,,,,,,
,Double Kick,,,,,,
,Psychic,,,,,,
,Shadow Ball,,,,,,
,Earthquake,,,,,,
,Shadow Ball,,,,,,
,Rock Slide,,,,,,
,Icy Wind,,,,,,
,Protect,,,,,,
,Earthquake,,,,,,
,Fake Out,,,,,,
,Thunderbolt,,,,,,
,Follow Me,,,,,,
,Scald,,,,,,
,Rock Slide,,,,,,
,Return,,,,,,
,King's Shield,,,,,,
,Scald,,,,,,
,Heat Wave,,,,,,
,Thunderbolt,,,,,,
,Earthquake,,,,,,
,Hyper Voice,,,,,,
,Double-Edge,,,,,,
,Scald,,,,,,
,Mach Punch,,,,,,
,Thunderbolt,,,,,,
,Follow Me,,,,,,
,Draco Meteor,,,,,,
,Iron Head,,,,,,
,King's Shield,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Roost,,,,,,
,Protect,,,,,,
,Superpower,,,,,,
,Double-Edge,,,,,,
,Psychic,,,,,,
,Flamethower,,,,,,
,Earthquake,,,,,,
,Heat Wave,,,,,,
,Hyper Voice,,,,,,
,,Rock Slide,,,,,
,,Rage Powder,,,,,
,,Taunt,,,,,
,,Earthquake,,,,,
,,Earth Power,,,,,
,,Trick Room,,,,,
,,Overheat,,,,,
,,Thunderbolt,,,,,
,,Rock Slide,,,,,
,,Icy Wind,,,,,
,,King's Shield,,,,,
,,Rock Slide,,,,,
,,Flash Cannon,,,,,
,,Play Rough,,,,,
,,Safeguard,,,,,
,,Rage Powder,,,,,
,,Rock Slide,,,,,
,,Crunch,,,,,
,,Swagger,,,,,
,,Air Slash,,,,,
,,Snarl,,,,,
,,Earthquake,,,,,
,,Sucker Punch,,,,,
,,Shadow Ball,,,,,
,,Ice Beam,,,,,
,,Earth Power,,,,,
,,Swagger,,,,,
,,Rock Slide,,,,,
,,Hidden Power,,,,,
,,Low Kick,,,,,
,,Icy Wind,,,,,
,,Drain Punch,,,,,
,,Overheat,,,,,
,,Tailwind,,,,,
,,Earth Power,,,,,
,,Ice Punch,,,,,
,,Wide Guard,,,,,
,,Scald,,,,,
,,Rock Slide,,,,,
,,Dragon Pulse,,,,,
,,Will-O-Wisp,,,,,
,,Fire Punch,,,,,
,,Low Kick,,,,,
,,Ice Beam,,,,,
,,Flash Cannon,,,,,
,,Protect,,,,,
,,Solar Beam,,,,,
,,Hidden Power,,,,,
,,,Low Kick,,,,
,,,Protect,,,,
,,,Thunder Wave,,,,
,,,U-turn,,,,
,,,Flamethrower,,,,
,,,Protect,,,,
,,,Solar Beam,,,,
,,,Thunder Wave,,,,
,,,Close Combat,,,,
,,,Calm Mind,,,,
,,,Substitute,,,,
,,,Knock Off,,,,
,,,King's Shield,,,,
,,,Protect,,,,
,,,Moonlight,,,,
,,,Spore,,,,
,,,Protect,,,,
,,,Double-Edge,,,,
,,,Taunt,,,,
,,,Flamethrower,,,,
,,,Ice Beam,,,,
,,,Knock Off,,,,
,,,Power-Up Punch,,,,
,,,Flash Cannon,,,,
,,,Will-O-Wisp,,,,
,,,Substitute,,,,
,,,Taunt,,,,
,,,U-turn,,,,
,,,Calm Mind,,,,
,,,Sucker Punch,,,,
,,,Recover,,,,
,,,Ice Punch,,,,
,,,Will-O-Wisp,,,,
,,,Safeguard,,,,
,,,Dark Pulse,,,,
,,,Zen Headbutt,,,,
,,,Shadow Ball,,,,
,,,Icy Wind,,,,
,,,Earthquake,,,,
,,,Hyper Voice,,,,
,,,Thunderbolt,,,,
,,,Rock Slide,,,,
,,,Protect,,,,
,,,Trick Room,,,,
,,,Earth Power,,,,
,,,Rock Slide,,,,
,,,Overheat,,,,
,,,Protect,,,,
,,,,Protect,,,
,,,,Energy Ball,,,
,,,,Swagger,,,
,,,,Superpower,,,
,,,,Protect,,,
,,,,Psychic,,,
,,,,Protect,,,
,,,,Hydro Pump,,,
,,,,Protect,,,
,,,,Moonlight,,,
,,,,Wide Guard,,,
,,,,U-turn,,,
,,,,Wide Guard,,,
,,,,Sucker Punch,,,
,,,,Toxic,,,
,,,,Giga Drain,,,
,,,,Close Combat,,,
,,,,Low Kick,,,
,,,,Thunder Wave,,,
,,,,Magic Coat,,,
,,,,Icy Wind,,,
,,,,Superpower,,,
,,,,Protect,,,
,,,,Wide Guard,,,
,,,,Recover,,,
,,,,Protect,,,
,,,,Thunder Wave,,,
,,,,Superpower,,,
,,,,Protect,,,
,,,,Fake Out,,,
,,,,Protect,,,
,,,,Stone Edge,,,
,,,,Protect,,,
,,,,Air Slash,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Flash Cannon,,,
,,,,Recover,,,
,,,,Iron Head,,,
,,,,Protect,,,
,,,,Leaf Storm,,,
,,,,Assurance,,,
,,,,Fake Out,,,
,,,,Helping Hand,,,
,,,,Protect,,,
,,,,Knock Off,,,
,,,,Protect,,,
,,,,Quick Attack,,,
,,,,,Adamant,,
,,,,,Relaxed,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Quiet,,
,,,,,Modest,,
,,,,,Modest,,
,,,,,Calm,,
,,,,,Jolly,,
,,,,,Bold,,
,,,,,Quiet,,
,,,,,Adamant,,
,,,,,Quiet,,
,,,,,Adamant,,
,,,,,Bold,,
,,,,,Bold,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Calm,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Quiet,,
,,,,,Calm,,
,,,,,Modest,,
,,,,,Calm,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Calm,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Quiet,,
,,,,,Bold,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Brave,,
,,,,,Sassy,,
,,,,,Quiet,,
,,,,,Brave,,
,,,,,Quiet,,
,,,,,Quiet,,
,,,,,,Life Orb,
,,,,,,Rocky Helmet,
,,,,,,Sitrus Berry,
,,,,,,Choice Scarf,
,,,,,,Shuca Berry,
,,,,,,Gardevoirite,
,,,,,,Charizardite Y,
,,,,,,Sitrus Berry,
,,,,,,Lum Berry,
,,,,,,Safety Goggles,
,,,,,,Leftovers,
,,,,,,Assault Vest,
,,,,,,Weakness Policy,
,,,,,,Mawilite,
,,,,,,Rocky Helmet,
,,,,,,Black Sludge,
,,,,,,Focus Sash,
,,,,,,Kangaskhanite,
,,,,,,Sitrus Berry,
,,,,,,Rocky Helmet,
,,,,,,Assault Vest,
,,,,,,Choice Scarf,
,,,,,,Kangaskhanite,
,,,,,,Safety Goggles,
,,,,,,Safety Goggles,
,,,,,,Leftovers,
,,,,,,Sitrus Berry,
,,,,,,Choice Scarf,
,,,,,,Pixie Plate,
,,,,,,Kangaskhanite,
,,,,,,Sitrus Berry,
,,,,,,Assault Vest,
,,,,,,Passho Berry,
,,,,,,Safety Goggles,
,,,,,,Life Orb,
,,,,,,Metagrossite,
,,,,,,Weakness Policy,
,,,,,,Maranga Berry,
,,,,,,Focus Sash,
,,,,,,Salamencite,
,,,,,,Sitrus Berry,
,,,,,,Assault Vest,
,,,,,,Kangaskhanite,
,,,,,,Safety Goggles,
,,,,,,Shuca Berry,
,,,,,,Yache Berry,
,,,,,,Charizardite Y,
,,,,,,Life Orb,
,,,,,,,Sand Stream
,,,,,,,Regenerator
,,,,,,,Prankster
,,,,,,,Intimidate
,,,,,,,Flash Fire
,,,,,,,Trace
,,,,,,,Blaze
,,,,,,,Levitate
,,,,,,,Justified
,,,,,,,Levitate
,,,,,,,Stance Change
,,,,,,,Intimidate
,,,,,,,Stance Change
,,,,,,,Intimidate
,,,,,,,Levitate
,,,,,,,Regenerator
,,,,,,,Justified
,,,,,,,Scrappy
,,,,,,,Prankster
,,,,,,,Serene Grace
,,,,,,,Pressure
,,,,,,,Intimidate
,,,,,,,Scrappy
,,,,,,,Stance Change
,,,,,,,Cursed Body
,,,,,,,Flash Fire
,,,,,,,Prankster
,,,,,,,Intimidate
,,,,,,,Pixilate
,,,,,,,Scrappy
,,,,,,,Competitive
,,,,,,,Guts
,,,,,,,Levitate
,,,,,,,Serene Grace
,,,,,,,Levitate
,,,,,,,Clear Body
,,,,,,,Stance Change
,,,,,,,Competitive
,,,,,,,Sand Rush
,,,,,,,Intimidate
,,,,,,,Levitate
,,,,,,,Sand Stream
,,,,,,,Inner Focus
,,,,,,,Levitate
,,,,,,,Flash Fire
,,,,,,,Intimidate
,,,,,,,Blaze
,,,,,,,Pixilate
Kyogre,,,,,,,
Hitmontop,,,,,,,
Gengar,,,,,,,
Raichu,,,,,,,
Bronzong,,,,,,,
Rayquaza,,,,,,,
Kyogre,,,,,,,
Groudon,,,,,,,
Gengar,,,,,,,
Talonflame,,,,,,,
Manectric,,,,,,,
Bronzong,,,,,,,
Gengar,,,,,,,
Rayquaza,,,,,,,
Raichu,,,,,,,
Bronzong,,,,,,,
Hitmontop,,,,,,,
Kyogre,,,,,,,
Xerneas,,,,,,,
Kangaskhan,,,,,,,
Groudon,,,,,,,
Bronzong,,,,,,,
Hitmontop,,,,,,,
Thundurus,,,,,,,
Rayquaza,,,,,,,
Kyogre,,,,,,,
Hitmontop,,,,,,,
Raichu,,,,,,,
Bronzong,,,,,,,
Gengar,,,,,,,
Cresselia,,,,,,,
Xerneas,,,,,,,
Groudon,,,,,,,
Smeargle,,,,,,,
Salamence,,,,,,,
Bronzong,,,,,,,
Infernape,,,,,,,
Xerneas,,,,,,,
Amoonguss,,,,,,,
Salamence,,,,,,,
Kyogre,,,,,,,
Bronzong,,,,,,,
Smeargle,,,,,,,
Scrafty,,,,,,,
Rayquaza,,,,,,,
Xerneas,,,,,,,
Volcarona,,,,,,,
Thundurus,,,,,,,
Kyogre,,,,,,,
Landorus,,,,,,,
Kangaskhan,,,,,,,
Rayquaza,,,,,,,
Thundurus,,,,,,,
Ferrothorn,,,,,,,
Kangaskhan,,,,,,,
Amoonguss,,,,,,,
Xerneas,,,,,,,
Smeargle,,,,,,,
Talonflame,,,,,,,
Groudon,,,,,,,
Whimsicott,,,,,,,
Kangaskhan,,,,,,,
Groudon,,,,,,,
Cresselia,,,,,,,
Kyogre,,,,,,,
Gengar,,,,,,,
Kyogre,,,,,,,
Smeargle,,,,,,,
Salamence,,,,,,,
Cresselia,,,,,,,
Kangaskhan,,,,,,,
Groudon,,,,,,,
Whimsicott,,,,,,,
Rayquaza,,,,,,,
Gyarados,,,,,,,
Xerneas,,,,,,,
Scrafty,,,,,,,
Arcanine,,,,,,,
Groudon,,,,,,,
Rayquaza,,,,,,,
Thundurus,,,,,,,
Kangaskhan,,,,,,,
Scizor,,,,,,,
Cresselia,,,,,,,
Thundurus,,,,,,,
Yveltal,,,,,,,
Kangaskhan,,,,,,,
Groudon,,,,,,,
Crobat,,,,,,,
Smeargle,,,,,,,
Kangaskhan,,,,,,,
Smeargle,,,,,,,
Bronzong,,,,,,,
Salamence,,,,,,,
Groudon,,,,,,,
Xerneas,,,,,,,
Rayquaza,,,,,,,
Meowstic,,,,,,,
Xerneas,,,,,,,
Arcanine,,,,,,,
Scrafty,,,,,,,
Thundurus,,,,,,,
Kangaskhan,,,,,,,
Groudon,,,,,,,
Xerneas,,,,,,,
Salamence,,,,,,,
Bronzong,,,,,,,
Smeargle,,,,,,,
Bronzong,,,,,,,
Thundurus,,,,,,,
Groudon,,,,,,,
Salamence,,,,,,,
Gengar,,,,,,,
Kyogre,,,,,,,
Groudon,,,,,,,
Smeargle,,,,,,,
Kangaskhan,,,,,,,
Bronzong,,,,,,,
Xerneas,,,,,,,
Salamence,,,,,,,
Kangaskhan,,,,,,,
Cresselia,,,,,,,
Salamence,,,,,,,
Smeargle,,,,,,,
Xerneas,,,,,,,
Groudon,,,,,,,
Groudon,,,,,,,
Smeargle,,,,,,,
Crobat,,,,,,,
Ferrothorn,,,,,,,
Rayquaza,,,,,,,
Suicune,,,,,,,
Gyarados,,,,,,,
Talonflame,,,,,,,
Raichu,,,,,,,
Rayquaza,,,,,,,
Xerneas,,,,,,,
Amoonguss,,,,,,,
Salamence,,,,,,,
Talonflame,,,,,,,
Groudon,,,,,,,
Raichu,,,,,,,
Xerneas,,,,,,,
Smeargle,,,,,,,
,Origin Pulse,,,,,,
,Wide Guard,,,,,,
,Protect,,,,,,
,Fake Out,,,,,,
,Safeguard,,,,,,
,Dragon Ascent,,,,,,
,Origin Pulse,,,,,,
,Eruption,,,,,,
,Sludge Bomb,,,,,,
,Brave Bird,,,,,,
,Thunder,,,,,,
,Gyro Ball,,,,,,
,Sludge Bomb,,,,,,
,Dragon Ascent,,,,,,
,Fake Out,,,,,,
,Safeguard,,,,,,
,Fake Out,,,,,,
,Origin Pulse,,,,,,
,Moonblast,,,,,,
,Fake Out,,,,,,
,Precipice Blades,,,,,,
,Gyro Ball,,,,,,
,Fake Out,,,,,,
,Thunderbolt,,,,,,
,Dragon Ascent,,,,,,
,Origin Pulse,,,,,,
,Fake Out,,,,,,
,Fake Out,,,,,,
,Safeguard,,,,,,
,Sludge Bomb,,,,,,
,Psychic,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Spiky Shield,,,,,,
,Protect,,,,,,
,Trick Room,,,,,,
,Fake Out,,,,,,
,Dazzling Gleam,,,,,,
,Grass Knot,,,,,,
,Hyper Voice,,,,,,
,Ice Beam,,,,,,
,Gyro Ball,,,,,,
,Dark Void,,,,,,
,Knock Off,,,,,,
,Dragon Ascent,,,,,,
,Moonblast,,,,,,
,Overheat,,,,,,
,Thunderbolt,,,,,,
,Water Spout,,,,,,
,Earthquake,,,,,,
,Fake Out,,,,,,
,Dragon Ascent,,,,,,
,Thunderbolt,,,,,,
,Power Whip,,,,,,
,Fake Out,,,,,,
,Grass Knot,,,,,,
,Geomancy,,,,,,
,Fake Out,,,,,,
,Brave Bird,,,,,,
,Precipice Blades,,,,,,
,Encore,,,,,,
,Fake Out,,,,,,
,Eruption,,,,,,
,Skill Swap,,,,,,
,Water Spout,,,,,,
,Icy Wind,,,,,,
,Origin Pulse,,,,,,
,Dark Void,,,,,,
,Hyper Voice,,,,,,
,Psychic,,,,,,
,Double-Edge,,,,,,
,Eruption,,,,,,
,Moonblast,,,,,,
,Dragon Ascent,,,,,,
,Waterfall,,,,,,
,Moonblast,,,,,,
,Knock Off,,,,,,
,Flare Blitz,,,,,,
,Earth Power,,,,,,
,Dragon Ascent,,,,,,
,Thunderbolt,,,,,,
,Frustration,,,,,,
,Bullet Punch,,,,,,
,Psychic,,,,,,
,Thunderbolt,,,,,,
,Knock Off,,,,,,
,Fake Out,,,,,,
,Eruption,,,,,,
,Tailwind,,,,,,
,Feint,,,,,,
,Fake Out,,,,,,
,Spiky Shield,,,,,,
,Gyro Ball,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Dragon Ascent,,,,,,
,Fake Out,,,,,,
,Moonblast,,,,,,
,Flare Blitz,,,,,,
,Knock Off,,,,,,
,Thunderbolt,,,,,,
,Double-Edge,,,,,,
,Precipice Blades,,,,,,
,Dazzling Gleam,,,,,,
,Hyper Voice,,,,,,
,Gyro Ball,,,,,,
,Dark Void,,,,,,
,Safeguard,,,,,,
,Thunder Wave,,,,,,
,Earth Power,,,,,,
,Protect,,,,,,
,Sludge Bomb,,,,,,
,Origin Pulse,,,,,,
,Precipice Blades,,,,,,
,Dark Void,,,,,,
,Fake Out,,,,,,
,Gyro Ball,,,,,,
,Dazzling Gleam,,,,,,
,Hyper Voice,,,,,,
,Fake Out,,,,,,
,Trick Room,,,,,,
,Protect,,,,,,
,Spiky Shield,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Eruption,,,,,,
,Dark Void,,,,,,
,Tailwind,,,,,,
,Gyro Ball,,,,,,
,Draco Meteor,,,,,,
,Tailwind,,,,,,
,Waterfall,,,,,,
,Brave Bird,,,,,,
,Volt Tackle,,,,,,
,Dragon Ascent,,,,,,
,Dazzling Gleam,,,,,,
,Clear Smog,,,,,,
,Hyper Voice,,,,,,
,Brave Bird,,,,,,
,Eruption,,,,,,
,Volt Tackle,,,,,,
,Moonblast,,,,,,
,Dark Void,,,,,,
,,Ice Beam,,,,,
,,Fake Out,,,,,
,,Taunt,,,,,
,,Volt Switch,,,,,
,,Gyro Ball,,,,,
,,Protect,,,,,
,,Ice Beam,,,,,
,,Precipice Blades,,,,,
,,Will-O-Wisp,,,,,
,,Tailwind,,,,,
,,Volt Switch,,,,,
,,Trick Room,,,,,
,,Taunt,,,,,
,,Extreme Speed,,,,,
,,Volt Switch,,,,,
,,Trick Room,,,,,
,,Close Combat,,,,,
,,Water Spout,,,,,
,,Dazzling Gleam,,,,,
,,Sucker Punch,,,,,
,,Protect,,,,,
,,Trick Room,,,,,
,,Wide Guard,,,,,
,,Taunt,,,,,
,,Extreme Speed,,,,,
,,Water Spout,,,,,
,,Close Combat,,,,,
,,Volt Switch,,,,,
,,Trick Room,,,,,
,,Taunt,,,,,
,,Icy Wind,,,,,
,,Geomancy,,,,,
,,Swords Dance,,,,,
,,Crafty Shield,,,,,
,,Tailwind,,,,,
,,Gravity,,,,,
,,Close Combat,,,,,
,,Moonblast,,,,,
,,Rage Powder,,,,,
,,Double-Edge,,,,,
,,Water Spout,,,,,
,,Safeguard,,,,,
,,Fake Out,,,,,
,,Low Kick,,,,,
,,Extreme Speed,,,,,
,,Dazzling Gleam,,,,,
,,Whirlwind,,,,,
,,Taunt,,,,,
,,Origin Pulse,,,,,
,,Rock Slide,,,,,
,,Double-Edge,,,,,
,,Extreme Speed,,,,,
,,Swagger,,,,,
,,Gyro Ball,,,,,
,,Power-Up Punch,,,,,
,,Spore,,,,,
,,Dazzling Gleam,,,,,
,,Dark Void,,,,,
,,Flare Blitz,,,,,
,,Fire Punch,,,,,
,,Tailwind,,,,,
,,Sucker Punch,,,,,
,,Overheat,,,,,
,,Safeguard,,,,,
,,Thunder,,,,,
,,Sludge Bomb,,,,,
,,Thunder,,,,,
,,Fake Out,,,,,
,,Double-Edge,,,,,
,,Icy Wind,,,,,
,,Low Kick,,,,,
,,Earth Power,,,,,
,,Tailwind,,,,,
,,Extreme Speed,,,,,
,,Icy Wind,,,,,
,,Dazzling Gleam,,,,,
,,Low Kick,,,,,
,,Extreme Speed,,,,,
,,Overheat,,,,,
,,Waterfall,,,,,
,,Thunder Wave,,,,,
,,Power-Up Punch,,,,,
,,Knock Off,,,,,
,,Icy Wind,,,,,
